Global Rank,Stars,Username,Country,Country Rank,Rating,Highest Rating,Fully Solved,Partially Solved,Last Contest,Institute
1,7,gennadykorotkevich,Belarus,10,3713,3713,373,2,20200829 223000,Saint Petersburg National Research University of Information TechnologiesMechanics and Optics
2,7,rns4,North Korea,10,3061,3061,317,4,20200615 150000,Kim Ilsung University
3,7,kutengine,North Korea,20,3046,3046,255,1,20180417 150000,Kim Chaek University of Technology
4,7,kuthbi1998,North Korea,30,2956,2978,120,2,20190513 150000,Kim Chaek University of Technology
5,7,kuthgs1997,North Korea,40,2939,2939,75,1,20200511 150000,Kim Chaek University of Technology
6,7,ACRush,China,10,2936,3489,587,6,20200511 150000,PonyAI
8,7,tmwilliamlin,Taiwan,10,2916,2916,283,16,20200218 160000,Taipei American SchoolTaipei
9,7,mugurelionut,Romania,10,2892,2996,538,5,20190313 150000,Google Switzerland
10,7,ceilks,Germany,10,2855,3087,540,17,20180212 150000,FernUniversi
11,7,alex2oo8,Latvia,10,2843,2843,201,5,20171028 223000,whiteCryption
12,7,umnik,Russia,10,2805,2805,126,7,20200427 233000,Ural Federal University
13,7,hhalgos,United States,10,2800,2800,170,16,20190213 150000,
15,7,white2302,Russia,20,2779,2780,195,8,20200817 150000,Moscow Institute of Physics and Technology
16,7,lhic,Russia,30,2772,2901,138,0,20190121 000000,Lomonosov Moscow State University
17,7,gainullinildar,Canada,10,2767,2767,120,9,20200622 000000,University of Waterloo
17,7,gorremorre,Sweden,10,2767,2878,130,5,20181112 150000,Chalmers University of TechnologyGothenburg
19,7,uwi,Japan,10,2763,3144,1372,16,20200824 001500,
20,7,msm1993,North Korea,50,2758,2853,309,3,20191118 000000,Kim Chaek University of Technology
21,7,waterfalls,United States,20,2753,2770,76,9,20160430 224000,Catlin Gabel School
23,7,rns5,North Korea,60,2744,2744,112,2,20200817 150000,Kim Ilsung University
24,7,krismaz,Poland,10,2730,2810,129,4,20200817 150000,Microsoft
26,7,ccz181078,China,20,2722,2737,152,0,20180611 150000,Tsinghua University
26,7,iafir,Indonesia,10,2722,2722,527,35,20200824 001500,Institut Teknologi Bandung
28,7,Fdg,Ukraine,10,2718,2718,199,0,20160321 000000,Google
29,7,aawisong,North Korea,70,2712,2712,86,2,20150615 150000,Sciences
30,7,wronganswer1,China,30,2709,2728,176,3,20200817 150000,Tsinghua University
31,7,vishal4556,India,10,2706,2706,117,3,20190617 150000,Birla Institute of Technology  Science PilaniGoa Campus
31,7,liouzhou101,China,40,2706,2706,135,0,20170911 150000,Tsinghua University
33,7,hzhz,China,50,2693,2693,142,4,20190415 150000,Zhenhai High SchoolChina
35,7,lg5293,United States,30,2675,2757,384,6,20200511 150000,
36,7,whzzt,China,60,2665,2725,62,1,20190213 150000,The High School Affiliated to Anhui Normal University
37,7,argos,Russia,40,2664,2770,396,12,20200525 000000,AIMTech
38,7,rumblefool,India,20,2663,2663,220,12,20190715 150000,Indian Institute of Technology Delhi
39,7,wxh010910,China,70,2661,2661,63,0,20181020 150000,Chengdu No7 High School
40,7,jijiang,United States,40,2660,2660,81,3,20200713 150000,Indian Institute of Technology Bombay
41,7,cheng2014,China,80,2659,2710,332,22,20200817 150000,Dalian University of Technology
42,7,karoliskusas,Lithuania,10,2658,2727,1359,21,20200425 224000,Eidgen
43,7,howarli,China,90,2657,2657,67,1,20190313 150000,Sun Yatsen Memorial Secondary School
44,7,rahuldugar,India,30,2652,2652,382,37,20200525 000000,Indian Institute of Technology Roorkee
45,7,isaf27,Russia,50,2649,2677,144,7,20200725 223000,Higher School of Economics
46,7,kmaaszraa,Iran,10,2648,2648,53,4,20200824 001500,Allameh Helli High Schools
47,7,skyfire,Belarus,20,2646,2841,161,1,20180212 150000,Self Employed
49,7,b524,United States,50,2635,2635,93,6,20171028 223000,Princeton High School
50,7,gvaibhav21,India,40,2630,2686,304,17,20180122 000000,Indian Institute of Technology Roorkee
51,7,zhouyuyang,China,100,2629,2700,437,0,20200817 150000,Peking University
52,7,ilyakor,Switzerland,10,2627,2627,79,0,20180423 000000,Google
53,7,natsugiri,Japan,20,2626,2769,537,23,20200824 001500,Home
54,7,fsouza,Brazil,10,2625,2742,283,9,20190330 223000,Google Switzerland
55,7,lychcys,China,110,2624,2760,90,0,20180312 150000,Zhenhai High SchoolChina
55,7,narri,United States,60,2624,2684,223,4,20200817 150000,Bloomberg LP
58,7,andres96,Estonia,10,2622,2622,195,13,20190916 150000,
60,7,jtnydv25,India,50,2615,2625,486,19,20191118 000000,Indian Institute of Technology Delhi
61,7,vivek1998299,India,60,2612,2612,576,44,20200413 173000,Veermata Jijabai Technological InstituteMumbai
61,7,icecuber,Norway,10,2612,2612,62,1,20200720 000000,
61,7,hellkitsune,Russia,60,2612,2622,120,1,20170327 000000,Togliatti State UniversityRussia
64,7,min25,Japan,30,2606,2746,108,0,20171113 190000,
65,7,teapot,Russia,70,2605,2605,40,5,20170821 000000,Other
66,7,EgorK,Germany,20,2604,2731,818,8,20200530 223000,
67,7,fataleagle,Canada,20,2602,2650,204,4,20160730 233000,University of Waterloo
67,7,zhouyuchen,China,120,2602,2754,378,5,20200217 150000,
69,7,daniel1999,Ukraine,20,2598,2598,99,11,20200125 223000,National University of Lviv
70,7,xellos0,Slovakia,10,2593,2693,486,8,20171016 150000,Taiwanese woodcarving forums  Encyclopedia Dramatica
71,7,hitonanode,Japan,40,2591,2591,38,5,20200725 223000,
71,7,sam2,China,130,2591,2591,156,2,20200716 001500,University of Auckland
73,7,kevinsogo,Philippines,10,2590,2590,126,0,20140616 150000,
75,7,xyz111,China,140,2583,2583,69,0,20150413 150000,Massachusetts Institute of Technology
75,7,ryodan,United States,70,2583,2615,123,9,20200817 150000,
77,7,rajat1603,India,70,2582,2678,803,64,20171225 000000,Chennai Mathematical Institute
77,7,tmyklebu,Canada,30,2582,2582,59,2,20200511 150000,
79,7,mcfx1,China,150,2578,2739,83,0,20200113 150000,Tsinghua University
80,7,progmatic,Belarus,30,2577,2819,225,14,20200725 223000,Belarusian State University
80,7,stepbystep,Russia,80,2577,2588,186,11,20200218 140000,Saint Petersburg State University
82,7,zemen,Russia,90,2574,2578,38,2,20190520 000000,AIMTech
83,7,abdullah768,India,80,2572,2572,580,40,20190715 150000,Shree LR Tiwari College of Engineering
84,7,aurinegro,Argentina,10,2571,2571,138,3,20200713 150000,Universidad Nacional Del Sur
85,7,aviroop123,India,90,2570,2570,395,16,20200725 223000,Indian Institute of Technology Roorkee
86,7,akee,China,160,2569,2646,104,2,20200713 150000,High School Affiliated to Renmin University Of China
88,7,y0105w49,Canada,40,2568,2568,50,1,20180526 223000,University of Waterloo
89,7,olegb,United States,80,2566,2566,67,2,20190313 150000,Google
91,7,samvel,Armenia,10,2565,2565,94,16,20200829 223000,Quantum College
93,7,Fcdkbear,Ukraine,30,2563,2563,77,1,20170429 223000,Vinnytsia National Technical UniversityUkraine
94,7,austin990301,Taiwan,20,2562,2562,237,29,20171211 150000,National Taiwan University
94,7,mcubedev,France,10,2562,2562,68,1,20200511 150000,Soci
96,7,ilnil,China,170,2558,2558,52,1,20190916 150000,Sun Yatsen Memorial Middle School
97,7,fhlasek,Czech Republic,10,2556,2737,236,2,20181119 000000,Blue Vision Labs
98,7,kostroma,Russia,100,2555,2555,123,0,20171120 000000,Moscow Institute of Physics and Technology
99,7,htmlsanek,Russia,110,2553,2636,302,18,20200829 223000,Moscow Institute of Physics and Technology
100,7,watcher,Canada,50,2552,2552,102,2,20180526 223000,
101,7,scli,North Korea,80,2551,2570,126,2,20150413 150000,Mathmatics
102,7,farhodfarmon,Tajikistan,10,2546,2546,106,7,20200525 000000,Innopolis University
102,7,al13n,United States,90,2546,2764,344,2,20200824 001500,Facebook Inc
105,7,sumeetvarma,India,100,2544,2682,297,17,20181119 000000,Dhirubhai Ambani Institute of Information and Communication TechnologyGandhinagar
107,7,cjy2003,China,180,2540,2540,98,5,20200615 150000,High School Affiliated to Xian Jiaotong University
108,7,kmcode,Japan,50,2539,2636,496,73,20200530 223000,Junior  Senior High School At KomabaUniversity of TsukubaSetagayaJapan
109,7,r64,China,190,2537,2677,232,6,20170818 150000,Tsinghua University
110,7,kal013,India,110,2536,2563,859,57,20200725 223000,Indian Institute of Technology Delhi
111,7,belamervado,Hungary,10,2535,2535,235,4,20180115 150000,NNG
112,7,fmota,Brazil,20,2532,2532,213,11,20200114 003000,Federal University of Campina Grande
112,7,w86065256,China,200,2532,2532,68,2,20190313 150000,Fudan University
114,7,enem,India,120,2531,2531,325,27,20200829 223000,Indian Institute of Technology Guwahati
115,7,arjanbal,India,130,2530,2530,255,13,20200413 173000,ABV  Indian Institute of Information Technology and Management Gwalior
116,7,bciobanu,Romania,20,2529,2529,58,5,20171016 150000,University of BucharestRomania
117,7,grebnesieh,India,140,2528,2666,375,30,20200817 150000,Google
117,7,samjia2000,China,210,2528,2528,115,3,20181112 150000,Sun Yatsen Memorial Secondary School
117,7,wzf2000,China,210,2528,2528,57,1,20180312 150000,Zhenhai High SchoolChina
120,7,chinmay0906,India,150,2526,2526,252,12,20190114 200000,Motilal Nehru National Institute of Technology Allahabad
120,7,sinus070,India,150,2526,2627,228,28,20200615 150000,Birla Institute of Technology  Science PilaniGoa Campus
122,7,smelskiy,Ukraine,40,2523,2523,122,18,20190923 000000,Kremenchuk Boarding Lyceum for Gifted Children
124,7,akash4983,India,170,2521,2584,631,12,20200217 150000,Google
125,7,mikhailOK,United States,100,2520,2579,141,0,20131223 000000,Beanstalk
125,7,riadwaw,Russia,120,2520,2520,69,3,20181022 000000,AIM Tech
125,7,alipasha132,Iran,20,2520,2520,80,1,20200226 000000,Allameh Helli High Schools
125,7,alei,Peru,10,2520,2548,564,24,20171225 000000,AlhepSoft
129,7,chemthan,Vietnam,10,2519,2761,453,9,20200720 000000,
130,7,hitman623,India,180,2518,2532,431,35,20200421 000000,Indian Institute of Technology BHU
131,7,morass,Czech Republic,20,2517,2517,147,29,20170717 150000,Czech Technical UniversityPrague
132,7,tusg25,India,190,2515,2515,156,12,20200615 150000,Indian Institute of Technology Bombay
134,7,tasmeemreza,Bangladesh,10,2514,2514,274,34,20200824 001500,SOS Hermann Gmeiner School and College
135,7,alexander86,Germany,30,2511,2536,84,6,20171211 150000,FriedrichAlexanderUniversit
136,7,evil999man,India,200,2510,2510,266,14,20180227 223000,Indian Institute of Technology Kharagpur
136,7,nuip,Japan,60,2510,2767,429,26,20200824 001500,University of Tsukuba
138,7,acraider,India,210,2509,2509,325,16,20200427 233000,Indian Institute of Technology Kharagpur
140,7,aryanc403,India,220,2507,2507,662,54,20200427 233000,Indian Institute of Technology Kanpur
140,7,fjzzq2002,China,230,2507,2678,201,4,20190313 150000,Fuzhou No3 Middle School
140,7,briansu,Taiwan,30,2507,2510,64,7,20190313 150000,National Taiwan University
143,7,usaxena95,Germany,40,2505,2505,430,10,20170612 150000,Google
144,7,yashchandnani,India,230,2504,2774,377,28,20200427 233000,Indian Institute of Technology Kanpur
144,7,mmaxio,Russia,130,2504,2871,326,1,20190617 150000,Perm State University National Research
144,7,marckess,Mexico,10,2504,2504,96,14,20200627 223000,Escuela Superior de Computo
147,7,galencolin,United States,110,2503,2543,122,7,20200829 223000,Montgomery Blair High School
148,7,ltst,China,240,2502,2502,77,0,20200713 150000,Changjun High School
150,6,rxdoi,China,250,2498,2498,155,0,20180115 150000,Shaoxing No1 High School
